artist,album,song,time,feat,type,tempo,arc,inst1,inst2,inst3,tag1,tag2,tag3,kw1,kw2,kw3,style1,style2,style3,genre1,genre2,genre3,
Aina Haina,,I Can't Feel You Anymore (Instrumental),6:31,,instr,3,Steady,Electric Guitar,Bass,Drums,Burdened,Youthful,Mischievous,Confident,Energetic,Gritty,Adventure,LookBook Video,Indie,Rock & Roll,,,
Aina Haina,,I Wouldn't Let Me In If I Were You,3:22,,vox,4,Steady,Electric Guitar,Bass,Drums,Gritty,Mischievous,Rebellious,Youthful,Confident,,Documentary,Drama,Narrative,Rock & Roll,,,
Aina Haina,,Merisel,4:43,,vox,4,Steady,Electric Guitar,Bass,Drums,Gritty,Mischievous,Rebellious,Youthful,Confident,,Documentary,Drama,Narrative,Rock & Roll,,,
Aina Haina,,Side 2,0:06,,vox,4,Steady,Electric Guitar,Bass,Drums,Gritty,Mischievous,Rebellious,Youthful,Confident,,Documentary,Drama,Narrative,Rock & Roll,,,
Aina Haina,,We Pulled It Down,3:41,,vox,4,Steady,Electric Guitar,Bass,Drums,Gritty,Mischievous,Rebellious,Youthful,Confident,,Documentary,Drama,Narrative,Rock & Roll,,,
Aina Haina,,We Pulled It Down (Instrumental),3:46,,instr,3,Steady,Electric Guitar,Bass,Drums,Burdened,Youthful,Mischievous,Confident,Energetic,Gritty,Adventure,LookBook Video,Indie,Rock & Roll,,,
Aina Haina,,Wouldn't Let Me In (Instrumental),2:47,,instr,3,Steady,Electric Guitar,Bass,Drums,Burdened,Youthful,Mischievous,Confident,Energetic,Gritty,Adventure,LookBook Video,Indie,Rock & Roll,,,
Alan Singley,Cold Truth,Cass County Beauty Queen,4:39,,instr,3,Multiple Build,Piano,Strings,,Calm,Cinematic,Classic,Emotional,Ethereal,Harmonic,Indie,Childrens,Documentary,Orchestral,,,
Alan Singley,Anamorphic Orchestra,Creature Comforts,5:10,,instr,3,Ascending,Woodwinds,Strings,,Calm,Emotional,Ethereal,Imaginative,Hopeful,Harmonic,Avant Garde,Trailer,Indie,Orchestral,Indie Pop,Cinematic,
Alan Singley,Cold Truth,Dawn's Pulse,7:10,,instr,1,Ascending,Piano,Strings,,Cinematic,Dark,Emotional,Minimal,Pensive,Sad,Trailer,Indie,Narrative,Orchestral,,,
Alan Singley,Cold Truth,Force Light,5:11,,instr,1,Ascending,Piano,Strings,Organ,Cinematic,Calm,Dark,Emotional,Human,Instrumental,Narrative,Documentary,Drama,Orchestral,,,
Alan Singley,Cold Truth,Life in a Dollhouse,4:16,,instr,2,Ascending,Piano,Strings,,Cinematic,Classic,Dark,Emotional,Hopeful,Inspiring,Drama,Indie,Trailer,Orchestral,,,
Alan Singley,Anamorphic Orchestra,Machine Elves,5:34,,instr,3,Multiple Build,Drums,Synthesizer,Woodwinds,Confident,Exciting,Imaginative,Playful,Human,Instrumental,Indie,Childrens,Avant Garde,Orchestral,Indie Pop,,
Alan Singley,Cold Truth,One Last Sunset,6:39,,instr,2,Ascending,Piano,Strings,Organ,Cinematic,Calm,Emotional,Hopeful,Organic,Melodic,Narrative,Documentary,Trailer,Orchestral,,,
Alan Singley,Anamorphic Orchestra,Radiant Flux,4:29,,instr,3,Steady,Organ,Woodwinds,Drums,Emotional,Confident,Imaginative,Positive,,Harmonic,Indie,Trailer,Narrative,Orchestral,Cinematic,,
Alan Singley,Anamorphic Orchestra,Signs Of Life,5:19,Featured,instr,3,Multiple Build,Electric Piano,Strings,Woodwinds,Bouncy,Confident,Emotional,Imaginative,Playful,Positive,Indie,Romantic Comedy,Childrens,Orchestral,Indie Pop,Cinematic,
Alan Singley,Anamorphic Orchestra,Stop The Clocks,8:19,Featured,instr,1,Ascending,Strings,Woodwinds,Electric Piano,Emotional,Reflective,Ethereal,Calm,Pensive,Cinematic,Indie,Narrative,Drama,Orchestral,Cinematic,,
Alan Singley,Cold Truth,Supermoon,6:15,,instr,1,Ascending,Piano,Strings,,Calm,Classic,Cinematic,Emotional,Ethereal,Harmonic,Indie,Narrative,Documentary,Orchestral,,,
Alan Singley,,Taking Dark Matter Lightly,4:10,Featured,instr,1,Ascending,Organ,Woodwinds,Synthesizer,Emotional,Reflective,Ethereal,Calm,Pensive,Cinematic,Indie,Narrative,Trailer,Orchestral,Cinematic,,
Alan Singley,Anamorphic Orchestra,Time's Arrow,5:51,,instr,3,Multiple Build,Strings,Woodwinds,Drums,Confident,Emotional,Imaginative,Mischievous,Playful,Instrumental,Thriller & Suspense,Documentary,Fantasy,Orchestral,Cinematic,,
Alan Singley,Cold Truth,Tulum,3:46,Featured,instr,3,Multiple Build,Strings,Piano,,Cinematic,Classic,Confident,Emotional,Playful,Melodic,Narrative,Documentary,Trailer,Orchestral,,,
Alan Singley,Anamorphic Orchestra,Unknown Variables,9:06,,instr,2,Middle Peak,Organ,Woodwinds,,Emotional,Confident,Imaginative,,,Calm,Indie,Narrative,Makers & Creators,Orchestral,Cinematic,,
Alan Singley,Cold Truth,You Know Who You Are,4:02,Featured,instr,2,Ascending,Piano,Strings,,Calm,Cinematic,Classic,Emotional,Hopeful,Harmonic,Narrative,Indie,Documentary,Orchestral,,,
Alex Fitch,,Along The Hwy,2:01,Featured,instr,2,Steady,,Synthesizer,,Angelic,Bright,Emotional,Harmonic,Reflective,Soothing,Business,Documentary,Drama,Ambient,Cinematic,Downtempo,
Alex Fitch,,Because You Hold Me Tight,3:01,Featured,instr,3,Steady,Drum Machine,Synthesizer,,Meandering,Industrial,Intimate,,,,LookBook Video,Avant Garde,Indie,Electronic,Downtempo,Experimental,
Alex Fitch,,Celeste,3:13,Featured,vox,3,Steady,Drum Machine,Synthesizer,Electric Guitar,Ethereal,Calm,Imaginative,Reflective,Pensive,,LookBook Video,Avant Garde,Indie,Downtempo,Electronic,Experimental,
Alex Fitch,,Daku,1:00,,instr,3,Steady,Drum Machine,Synthesizer,Backing Vocals,Bright,Calm,,,,,LookBook Video,Avant Garde,Indie,Downtempo,Electronic,Experimental,
Alex Fitch,,Eola,2:22,,instr,3,Steady,Drum Machine,Synthesizer,Electric Guitar,Ethereal,Calm,Imaginative,Reflective,Pensive,,LookBook Video,Avant Garde,Indie,Downtempo,Electronic,Experimental,
Alex Fitch,,In the Dust,0:26,Featured,vox,3,Steady,Drum Machine,Synthesizer,Electric Guitar,Ethereal,Calm,Imaginative,Reflective,Pensive,,LookBook Video,Avant Garde,Indie,Downtempo,Electronic,Experimental,
Alex Fitch,,In The Light,1:03,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,Keep The Car Running,1:05,,instr,4,Steady,Drum Machine,Synthesizer,Electric Guitar,Bright,Hopeful,Quirky,Light,Optimistic,Playful,Business,Crowdfunding,Indie,Electronic,Indie Pop,,
Alex Fitch,,Mile Post 1,2:24,,vox,3,Steady,Drum Machine,Synthesizer,Electric Guitar,Ethereal,Calm,Imaginative,Reflective,Pensive,,LookBook Video,Avant Garde,Indie,Downtempo,Electronic,Experimental,
Alex Fitch,,Ocean Cliff,2:03,,instr,1,Ascending,Drum Machine,Synthesizer,,Ethereal,Organic,Pensive,Mysterious,,,Documentary,LookBook Video,Makers & Creators,Ambient,Cinematic,,
Alex Fitch,,Painted Hills,2:02,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Pensive,Powerful,Sad,,,Narrative,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,Ronny,0:58,,instr,2,Steady,Drum Machine,Synthesizer,Backing Vocals,Calm,Pensive,Stoic,,,,,,,Electronic,Experimental,,
Alex Fitch,,Secret Place,1:57,,vox,3,Steady,Drum Machine,Synthesizer,Electric Guitar,Ethereal,Calm,Imaginative,Reflective,Pensive,,LookBook Video,Avant Garde,Indie,Downtempo,Electronic,Experimental,
Alex Fitch,,Seeking Clarity,3:05,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,Seeking Clarity Pt. II,2:50,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,Sun Goes Down,0:34,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,The Tide,1:21,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,The Tide Pt II,1:23,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,Warmest Day,0:32,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,We Call This Home,3:44,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alex Fitch,,We Call This Home III,3:51,,instr,3,Steady,Synthesizer,Drum Machine,,Emotional,Light,Positive,Reflective,,Quirky,Business,Documentary,Indie,Ambient,Minimal,Electronic,
Alialujah Choir,,After All,2:00,,,3,Steady,Piano,Acoustic Guitar,Strings,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,After All (Instrumental),2:57,,instr,3,Steady,Piano,Acoustic Guitar,Strings,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Broken,2:00,,vox,3,Multiple Build,Piano,Acoustic Guitar,Strings,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Broken (Instrumental),2:53,,instr,3,Multiple Build,Piano,Acoustic Guitar,Strings,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Building A Nation,2:00,,vox,4,Steady,Piano,Acoustic Guitar,Strings,Inspiring,Bright,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Building A Nation (Instrumental),3:59,,instr,4,Steady,Piano,Acoustic Guitar,Strings,Inspiring,Bright,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Cold Weather,2:00,,vox,3,Steady,Piano,Acoustic Guitar,Strings,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Cold Weather (Instrumental),3:03,,instr,3,Steady,Piano,Acoustic Guitar,Strings,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,From The Ground,2:00,,vox,3,Ascending,Piano,Acoustic Guitar,Strings,Intimate,Calm,Dynamic,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,From The Ground (Instrumental),4:21,,instr,3,Ascending,Piano,Acoustic Guitar,Strings,Intimate,Calm,Dynamic,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Idle Days,2:00,,vox,1,Steady,Piano,Acoustic Guitar,Strings,Intimate,Depressed,Reflective,Pensive,Human,Folk,Documentary,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Idle Days (Instrumental),3:59,,instr,1,Steady,Piano,Acoustic Guitar,Strings,Intimate,Depressed,Reflective,Pensive,Human,Folk,Documentary,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Kings and Queens,2:00,,vox,4,Steady,Piano,Acoustic Guitar,Percussion,Bouncy,Upbeat,Dynamic,Energetic,Happy,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Kings And Queens (Instrumental),3:04,,instr,4,Steady,Piano,Acoustic Guitar,Percussion,Bouncy,Upbeat,Dynamic,Energetic,Happy,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Little Picture,2:00,,vox,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Little Picture (Instrumental),2:58,,instr,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,No Need To Know,2:00,,vox,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,No Need To Know (Instrumental),3:17,,instr,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Part of Me,2:00,,vox,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Part Of Me (Instrumental),3:04,,instr,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Sputtering To Spin,2:00,,vox,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Sputtering To Spin (Instrumental),2:16,,instr,3,Steady,Piano,Acoustic Guitar,Bass,Inspiring,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Tell Me,2:00,,vox,3,Steady,Bass,Acoustic Guitar,Strings,Intimate,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alialujah Choir,,Tell Me (Instrumental),3:33,,instr,3,Steady,Bass,Acoustic Guitar,Strings,Intimate,Calm,Hopeful,Human,Melodic,Uplifting,Business,Drama,Narrative,Folk & Americana,Indie Pop,,
Alison Ables,,A Ha,0:38,,instr,3,Ascending,Synthesizer,Electric Piano,Acoustic Guitar,Angelic,Calm,Reflective,Sentimental,Uplifting,,Business,Trailer,Crowdfunding,Cinematic,Indie Pop,,
Alison Ables,,Action,1:00,,instr,3,Ascending,Drums,Synthesizer,,Cinematic,Dark,Dynamic,Industrial,Gritty,,Action,Thriller & Suspense,Science Fiction,Cinematic,Electronic,,
Alison Ables,,Always Return,0:23,Featured,instr,3,Steady,Synthesizer,Strings,,Dark,Cold,Ethereal,,,Bass,Trailer,LookBook Video,Makers & Creators,Cinematic,,,
Alison Ables,,Beyond,1:03,,instr,4,Steady,Synthesizer,Drum Machine,,Cold,Dark,Energetic,Industrial,,Bass,Drama,Science Fiction,Narrative,Dance,Electronic,Cinematic,
Alison Ables,,Blue Skies,1:26,Featured,instr,2,Steady,Acoustic Guitar,Backing Vocals,,Calm,Cinematic,Emotional,Melodic,Sentimental,,Trailer,Indie,Narrative,Folk & Americana,"Blues, Roots & Jazz",Cinematic,
Alison Ables,,Bond,1:08,,instr,2,Ascending,Acoustic Guitar,Strings,,Cinematic,Emotional,Inspiring,Sentimental,,Angelic,Action,Science Fiction,Crime,Orchestral,Folk & Americana,,
Alison Ables,,Bookhouse,1:03,,instr,3,Ascending,Acoustic Guitar,Strings,,Cinematic,Emotional,Inspiring,Reflective,Sentimental,Romantic,Avant Garde,Drama,Horror,Orchestral,Folk & Americana,Indie Pop,
Alison Ables,,Brushed Metal,0:58,,instr,4,Ascending,Drums,Synthesizer,Backing Vocals,Cold,Dark,Gritty,Mysterious,,,Action,Thriller & Suspense,Avant Garde,Electronic,Electronic,Cinematic,
Alison Ables,,Bubbling Up,0:31,,instr,3,Ascending,Strings,Synthesizer,Acoustic Guitar,Cinematic,Emotional,Powerful,Uplifting,,,Trailer,Makers & Creators,Business,Orchestral,Cinematic,,
Alison Ables,,Chiselled,0:31,,instr,4,Ascending,Synthesizer,Drum Machine,Strings,Dark,Confident,Powerful,Gritty,Sinister,,Action,Crime,Sports,Cinematic,,,
Alison Ables,,Cool Edge,0:31,,instr,4,Ascending,Drums,Electric Guitar,Synthesizer,Burdened,Dynamic,Sparse,,,,Action,Drama,Sports,Cinematic,,,
Alison Ables,,Dawning Moment,0:31,,instr,4,Ascending,Synthesizer,Drums,Electric Guitar,Burdened,Cinematic,Confident,Emotional,Melodic,,Action,Drama,Sports,Cinematic,,,
Alison Ables,,Distillation,1:01,Featured,instr,4,Ascending,Piano,Strings,,Burdened,Confident,Emotional,Empowering,Inspiring,Powerful,Trailer,Business,Adventure,Orchestral,Cinematic,,
Alison Ables,,Dramatic Turn,0:31,,instr,3,Ascending,Synthesizer,Drum Machine,,Burdened,Cinematic,Confident,Emotional,Melodic,Dynamic,Sports,Action,LookBook Video,Electronic,Cinematic,,
Alison Ables,,Factory,1:04,,instr,3,Ascending,Electric Piano,Strings,Acoustic Guitar,Cinematic,Emotional,Emotional,Positive,Sentimental,,Drama,Action,Science Fiction,Orchestral,Cinematic,Folk & Americana,
Alison Ables,,Factory Ballet,0:46,,instr,2,Ascending,Drum Machine,Synthesizer,,Mechanical,Minimal,Mysterious,Meandering,Rhythmic,Sporadic,Avant Garde,Science Fiction,Thriller & Suspense,Electronic,Cinematic,,
Alison Ables,,Flashing Before Me,1:07,Featured,instr,3,Ascending,Acoustic Guitar,Strings,Electric Guitar,Emotional,Hopeful,Reflective,Uplifting,,,Indie,Business,Crowdfunding,Cinematic,Orchestral,Indie Pop,
Alison Ables,,Flute Theme,1:01,,instr,2,Ascending,Organ,Strings,,Cinematic,Emotional,Classic,Inspiring,Sentimental,,Narrative,Drama,Science Fiction,Orchestral,,,
Alison Ables,,Golf,0:30,,instr,4,Ascending,Synthesizer,,,Burdened,Cinematic,Emotional,Empowering,Melodic,Uplifting,Trailer,Business,Documentary,Cinematic,,,
Alison Ables,,Got a Feelin,1:03,,instr,3,Ascending,Piano,Strings,,Cinematic,Emotional,Dark,,,Melodic,Indie,Adventure,Road Trip,Orchestral,,,
Alison Ables,,Growth,1:06,,instr,4,Ascending,Electric Piano,Drums,,Empowering,Hopeful,Human,Uplifting,,,Business,Case Study,Crowdfunding,Cinematic,Indie Pop,,
Alison Ables,,Here Today,1:08,,instr,3,Ascending,Electric Guitar,,,Classic,Emotional,Reflective,,,Emotional,Adventure,Business,Indie,Indie Pop,Cinematic,,
Alison Ables,,Hooray,5:13,,instr,2,Multiple Build,Electric Piano,Vocal,Percussion,Ethereal,Imaginative,Mysterious,Powerful,,,LookBook Video,Avant Garde,Fantasy,Indie Pop,Experimental,Cinematic,
Alison Ables,,Ideas Abound,1:01,,instr,3,Ascending,Strings,Piano,,Angelic,Dynamic,Empowering,Inspiring,Melodic,Powerful,Business,Narrative,Documentary,Orchestral,Cinematic,,
Alison Ables,,Indio,0:32,,instr,2,Ascending,Acoustic Guitar,Electric Piano,,Classic,Intimate,Light,,,Sparse,Action,Drama,Thriller & Suspense,Folk & Americana,Indie Pop,,
Alison Ables,,Into the Night,0:48,Featured,instr,3,Ascending,Piano,Acoustic Guitar,,Emotional,Ethereal,Intimate,Reflective,Sparse,,Indie,Drama,Narrative,Folk & Americana,Indie Pop,,
Alison Ables,,Jenny,1:06,,instr,3,Ascending,Synthesizer,Drum Machine,,Cold,Dark,,,,Bass,Trailer,Documentary,Drama,Electronic,Cinematic,,
Alison Ables,,Jump Cuts,0:50,,instr,4,Multiple Build,Drum Machine,Electric Piano,Synthesizer,Bouncy,Fun,Imaginative,Playful,,,Business,Case Study,Crowdfunding,Electronic,Indie Pop,Electronic,
Alison Ables,,Jump Cuts,0:50,,instr,3,Ascending,Drum Machine,Synthesizer,Electric Piano,Bouncy,Fun,Light,Minimal,Mischievous,Playful,Indie,Narrative,Documentary,Indie Pop,Cinematic,,
Alison Ables,,Kraut,2:07,,instr,3,Ascending,Electric Guitar,Drums,Organ,Ethereal,Meandering,Reflective,,,,Trailer,Indie,Psychedelic,Indie Pop,Cinematic,Downtempo,
